timestamp(ms);HeadAccelerometer.X;HeadAccelerometer.Y;HeadAccelerometer.Z;HeadGyroscope.X;HeadGyroscope.Y;HeadGyroscope.Z;Hand Accelerometer 0.X;Hand Accelerometer 0.Y;Hand Accelerometer 0.Z;Hand Gyroscope 0.X;Hand Gyroscope 0.Y;Hand Gyroscope 0.Z;Hand Accelerometer 1.X;Hand Accelerometer 1.Y;Hand Accelerometer 1.Z;Hand Gyroscope 1.X;Hand Gyroscope 1.Y;Hand Gyroscope 1.Z
741871;-0.009817025;0.01335023;-0.07935733;4.03548;305.5589;5.255828;;;;;;;;;;;;
741871;-0.008054763;0.01434781;-0.07666788;3.941447;305.4201;5.339639;;;;;;;;;;;;
741871;-0.0058444;0.01557534;-0.07299682;3.838491;305.3109;5.388156;;;;;;;;;;;;
741871;-0.003965874;0.01681027;-0.069703;3.726234;305.2047;5.441525;;;;;;;;;;;;
741871;-0.001210901;0.01769405;-0.0643237;3.597627;305.1004;5.468967;;;;;;;;;;;;
741871;0.0003098176;0.01933672;-0.05821025;3.438646;305.0162;5.502467;;;;;;;;;;;;
741871;0.001999141;0.02091783;-0.05431289;3.285145;304.9539;5.521239;;;;;;;;;;;;
741871;0.004338237;0.02200528;-0.04968866;3.125223;304.9161;5.516037;;;;;;;;;;;;
741871;0.005951112;0.02271021;-0.04532251;2.963618;304.8744;5.498446;;;;;;;;;;;;
741871;0.007742547;0.02313245;-0.03949413;2.776057;304.8519;5.425681;;;;;;;;;;;;
741871;0.009375357;0.02374633;-0.0345814;2.593517;304.8342;5.345481;;;;;;;;;;;;
741871;0.01087066;0.02548957;-0.02873789;2.405098;304.8516;5.245244;;;;;;;;;;;;
741871;0.01205762;0.02813159;-0.02257937;2.185185;304.8633;5.127816;;;;;;;;;;;;
741871;0.01268084;0.03079071;-0.01817062;1.955243;304.8857;4.98179;;;;;;;;;;;;
741871;0.01265637;0.03440746;-0.01360925;1.675552;304.9337;4.762192;;;;;;;;;;;;
741871;0.01307311;0.03765251;-0.009414855;1.359312;304.9716;4.526144;;;;;;;;;;;;
741871;0.01340573;0.0424512;-0.004859625;1.003883;305.0279;4.231966;;;;;;;;;;;;
741871;0.0140676;0.04530212;-0.0006378473;0.637912;305.0784;3.966473;;;;;;;;;;;;
741871;0.01482845;0.04731828;0.003971376;0.2477288;305.1501;3.699187;;;;;;;;;;;;
741871;0.01612609;0.04822825;0.007501721;359.8766;305.2079;3.465236;;;;;;;;;;;;
741871;0.01754405;0.04822084;0.01064916;359.5175;305.2815;3.246123;;;;;;;;;;;;
741871;0.0190177;0.04739236;0.01328928;359.1874;305.3463;3.070884;;;;;;;;;;;;
741871;0.02003764;0.04695569;0.01508879;358.8712;305.4053;2.916787;;;;;;;;;;;;
741871;0.01994998;0.04484643;0.01662702;358.5907;305.4727;2.802121;;;;;;;;;;;;
741871;0.01963365;0.04265704;0.01719926;358.3165;305.5284;2.689882;;;;;;;;;;;;
